X,Y,Pressure,Time
95.6046632282479,221.619037446211,0.09059829,0
95.6046632282479,221.619037446211,0.1594628,1
95.6046632282479,221.619037446211,0.1692308,1
95.6046632282479,221.619037446211,0.1692308,1
95.6046632282479,221.619037446211,0.1692308,15
95.6046632282479,221.619037446211,0.1692308,15
95.6046632282479,221.619037446211,0.1807082,15
95.6046632282479,221.619037446211,0.1807082,16
95.6046632282479,221.619037446211,0.2029304,31
95.6046632282479,221.619037446211,0.2029304,31
95.6046632282479,221.619037446211,0.2214896,31
95.6046632282479,221.619037446211,0.2214896,32
95.6046632282479,221.374889370403,0.2322344,47
95.6046632282479,221.374889370403,0.2322344,47
95.6046632282479,221.374889370403,0.2405372,47
95.6046632282479,221.374889370403,0.2405372,48
95.6046632282479,221.374889370403,0.2532357,62
95.6046632282479,221.374889370403,0.2532357,62
95.7218543046358,221.374889370403,0.2730159,62
95.7218543046358,221.374889370403,0.2730159,63
95.7218543046358,221.374889370403,0.2923077,78
95.7218543046358,221.374889370403,0.2923077,78
95.7218543046358,221.374889370403,0.3184371,78
95.7218543046358,221.374889370403,0.3184371,79
95.7999816888943,221.374889370403,0.3482296,93
95.7999816888943,221.374889370403,0.3482296,93
95.8781090731529,221.374889370403,0.3753358,93
95.8781090731529,221.374889370403,0.3753358,94
95.9562364574114,221.448133793146,0.3931624,109
95.9562364574114,221.448133793146,0.3931624,109
96.2296823023163,221.692281868954,0.4039072,109
96.2296823023163,221.692281868954,0.4039072,110
96.5421918393506,222.034089175085,0.4095238,125
96.5421918393506,222.034089175085,0.4095238,125
97.0500198370312,222.546800134281,0.4185592,125
97.0500198370312,222.546800134281,0.4185592,126
97.6359752189703,223.132755516221,0.4278388,140
97.6359752189703,223.132755516221,0.4278388,140
98.300057985168,223.816370128483,0.4371184,140
98.300057985168,223.816370128483,0.4371184,141
98.9250770592364,224.573229163488,0.4466422,156
98.9250770592364,224.573229163488,0.4466422,156
99.5110324411756,225.403332621235,0.4520147,156
99.5110324411756,225.403332621235,0.4520147,157
100.096987823115,226.16019165624,0.4566545,172
100.096987823115,226.16019165624,0.4566545,172
100.604815820795,227.08795434431,0.4637363,172
100.604815820795,227.08795434431,0.4637363,173
101.112643818476,227.942472609638,0.4717949,187
101.112643818476,227.942472609638,0.4717949,187
101.503280739769,228.772576067385,0.4764347,187
101.503280739769,228.772576067385,0.4764347,188
101.932981353191,229.456190679647,0.4766789,203
102.284554582354,229.944486831263,0.4766789,203
102.51893673513,230.213049714652,0.4766789,218
102.51893673513,230.213049714652,0.4766789,218
102.714255195776,230.286294137394,0.4695971,218
102.714255195776,230.286294137394,0.4742369,218
102.714255195776,230.286294137394,0.4695971,219
102.714255195776,230.286294137394,0.4742369,219
102.284554582354,227.258857997375,0.4998779,234
102.714255195776,228.772576067385,0.4842491,234
102.714255195776,229.871242408521,0.4742369,234
102.714255195776,230.286294137394,0.4695971,234
102.714255195776,230.286294137394,0.4695971,234
102.284554582354,227.258857997375,0.4998779,250
102.714255195776,228.772576067385,0.4842491,250
102.714255195776,229.871242408521,0.4742369,250
101.190771202734,222.790948210089,0.5199023,265
101.776726584674,225.232428968169,0.5118437,265
101.776726584674,225.232428968169,0.5118437,265
101.190771202734,222.790948210089,0.5199023,266
99.9016693624683,217.151127658925,0.5387058,281
100.604815820795,220.105319376202,0.527961,281
100.604815820795,220.105319376202,0.527961,281
99.9016693624683,217.151127658925,0.5387058,282
99.3157139805292,213.952787865841,0.5514042,297
98.5735038300729,209.997589037751,0.5643468,298
97.0500198370312,198.791192358165,0.5777778,312
97.8312936796167,205.041383098849,0.571917,312
97.8312936796167,205.041383098849,0.571917,312
97.0500198370312,198.791192358165,0.5777778,313
96.2296823023163,185.314218573565,0.5846154,328
96.464064455092,191.979461043123,0.5814408,328
96.464064455092,191.979461043123,0.5814408,328
96.2296823023163,185.314218573565,0.5846154,329
96.2296823023163,179.259346293527,0.5904762,343
96.2296823023163,174.718192083499,0.5936508,344
96.464064455092,171.178044984283,0.598779,359
96.464064455092,171.178044984283,0.598779,359
96.8937650685141,168.63890499588,0.6034188,359
96.8937650685141,168.63890499588,0.6034188,360
97.4015930661947,166.465987121189,0.6175824,375
97.4015930661947,166.465987121189,0.6175824,375
97.9875484481338,164.097750785852,0.6366301,375
97.9875484481338,164.097750785852,0.6366301,376
98.6516312143315,161.753929258095,0.6495727,390
98.6516312143315,161.753929258095,0.6495727,390
99.5891598254341,159.312448500015,0.6576313,390
99.5891598254341,159.312448500015,0.6576313,391
100.604815820795,157.456923123875,0.6600733,406
100.604815820795,157.456923123875,0.6600733,406
101.854853968932,156.114108706931,0.6600733,406
101.854853968932,156.114108706931,0.6600733,407
103.378337961974,155.18634601886,0.6595849,422
103.378337961974,155.18634601886,0.6595849,422
105.058076723533,154.673635059664,0.6564103,422
105.058076723533,154.673635059664,0.6564103,423
107.089388714255,154.673635059664,0.6564103,437
107.089388714255,154.673635059664,0.6564103,437
109.433210242012,154.673635059664,0.6581197,437
112.050477614673,154.673635059664,0.6586081,437
109.433210242012,154.673635059664,0.6581197,438
112.050477614673,154.673635059664,0.6586081,438
114.90212714011,155.18634601886,0.6588523,453
114.90212714011,155.18634601886,0.6588523,453
118.105349894711,155.845545823542,0.6615385,453
118.105349894711,155.845545823542,0.6615385,454
121.542954802087,156.431501205481,0.6617827,468
121.542954802087,156.431501205481,0.6617827,468
125.17587817011,157.041871395001,0.6637363,468
125.17587817011,157.041871395001,0.6637363,469
128.808801538133,157.530167546617,0.6661783,484
128.808801538133,157.530167546617,0.6661783,484
